Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
Elligo Health Research,https://www.elligohealthresearch.com & https://www.elligo.com,"Austin, Texas",Hybrid,40+ sites in Elligo Site Network,Nationwide (38+ countries served),8,50,68,46,39,42,57,25,13,66,19,9,20,25,254937,2017,9,78,high,32,5,15,57,"Novo Nordisk A/S; Amgen; Sanofi Pasteur, a Sanofi Company; Allergan; GTx; Eli Lilly and Company",Parexel; Premier Research,28326,72,43,37,IntElligo proprietary system (CDISC standards),"Y - ePatientFinder, eDirectSource, EHR integration",Y - IntElligo eSource tool,,,,,,,,All therapeutic areas (broad portfolio),"Multi-therapeutic with oncology/cancer focus, liquid biopsy, diverse therapeutic areas","Bilingual pre-screening, 28-country outreach",,"Y - decentralized, hybrid, traditional, virtual models",Network of experienced investigators (count unknown),328 employees,,,,,"38+ countries, 1000+ studies supported","VC-backed: $219.77M raised (Morgan Stanley, Ally Bridge Group, Norwest Venture Partners)","ClinEdge (2021), GuideStar Research, BTC New Bedford","Founded 2016 by John Potthoff, PhD (now Chairman) and Chad Moore; $196M total funding across 5 rounds",,,,"Y - strong blog presence, news updates",,Y - 150M+ diverse patients with EHR access,Y,Y,"IntElligo® (proprietary CTMS/eSource), ePatientFinder®, eDirectSource®, CDISC standards-based",N,Builds Tech Internally,Y (500+ decentralized/recruitment studies),"Barry Simms, MBA (CEO since Dec 2023; >25 years industry experience)",,,"Ethan Rooney (Chief Growth Officer, >28 years experience)",,https://www.linkedin.com/company/elligo-health-research,Y,"Strong patient recruitment focus; EHR-enabled patient identification; 1.6M+ patient access from 115+ hospitals, 200+ healthcare sites, 100+ research sites; accelerated enrollment","Integrated Research Organization (IRO) with 40+ sites and 1.6M+ patient access; tech-forward with proprietary IntElligo platform; strong recruitment focus via ePatientFinder; supports traditional, decentralized, hybrid, and virtual trials; 1,000+ studies supported; founder-led transition to strong CEO; excellent Intera fit—recruitment-driven, innovative tech, multiple sites, broad therapeutic mix [Validated: 3 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Focus Clinical Research,https://www.focusclinicalresearch.com,"West Hills, California",Site Network,10,California,8,50,41,65,43,46,71,37,3,92,31,13,22,41,69608,2005,21,70,low,40,12,13,68,"Susanna Naggie, MD; Pfizer; Hoffmann-La Roche; Novartis Vaccines; Boehringer Ingelheim; Biogen",IQVIA Pvt. Ltd; Novotech (Australia) Pty Limited,3315,96,43,47,,,"Y - electronic source data, EDC, remote monitoring",,,,,,,,"Dermatology, Gastroenterology, General Medicine, Infectious Disease, Internal Medicine, Neurology, Ophthalmology, Pulmonology, Urology, Vaccines, Women's Health","Dermatology, Gastroenterology, General Medicine, Infectious Disease, Internal Medicine, Neurology, Ophthalmology, Pulmonology, Urology, Vaccines, Women's Health",English + Spanish (detected),,Y - multi-specialty site network,Multi-specialty physicians,Research staff averaging 4.5 years experience,,,,,Now part of Alliance Clinical Network,,Acquired by Alliance Clinical Network,Alliance Clinical Network (Wholly owned subsidiary); Founder Anthony Abey remains on Board,,,,,Y,"Y - 500,000+ prescreened participants",,Yes,"EDC systems, electronic diaries, real-time screening",Unknown,Vendors (proprietary enrollment strategies),Yes,"Anthony Milonas (CEO Alliance Clinical Network, parent as of Nov 2025)","Jeanette Lee (VP Clinical Operations, Alliance Clinical Network)",Unknown,"Rebecca Lanier (VP Patient Recruitment, Alliance Clinical Network)",curibe@allianceclinicalnetwork.com,https://www.linkedin.com/company/focus-clinical-research,No,"Yes - Multi-specialty with 500,000+ consented database","ClinicalTrials.gov signal: 5 recruiting trials across 1 location(s), states: California. West Hills site part of Alliance Clinical Network with 10+ wholly-owned research sites. 500,000+ consented prescreened participant database enables rapid screening (days after activation). Multi-specialty physicians with proven track records. Centralized protocols, proprietary enrollment strategies. Real-time EDC updates from e-Source. Phase II-IV focus. Headquarters: Southlake, Texas. ACN CEO Anthony Milonas (Nov 2025), replacing founder Anthony Abey who established Jan 2018. Strong operational and recruitment capabilities."
StudyMetrix Research,https://www.studymetrix.com/,Missouri,Independent Site,1,Missouri,6,50,44,65,42,43,114,73,7,91,34,13,49,61,113392,2014,12,40,high,25,8,13,114,Eli Lilly and Company; Novo Nordisk A/S; Pfizer; Boehringer Ingelheim; AbbVie; Novartis Pharmaceuticals,"PPD Development, LP",9449,96,14,39,Unknown (part of Rovia Clinical Research),,,,,,,,,,"Phase II-IV trials in multiple areas including pain management, oncology, metabolic disorders","Pain, Obesity, Hepatology, Gastroenterology, Internal medicine",,,,Dr. Tim Smith (founder) + others,Experienced team (100+ years combined experience),Multiple (names not disclosed),,Acquired by Rovia Clinical Research (Sept 2025),,Acquired/joined Rovia network (Sept 2025),Gauge Capital-backed acquisition (Sept 2025),Acquired by Rovia Clinical Research (Sept 2025),Rovia Clinical Research (Parent Company),,,,Y - website with study information,,,,Y,Modern trial design and workflows for efficiency,Unknown,Unknown,Y,Unknown,Unknown,Unknown,Dr. Smith (Research Lead),"unitedstates@bitrialsupport.com, recruitment@studymetrix.com",Unknown,N,"High - 100+ years combined experience, 600+ trials conducted","ClinicalTrials.gov validation: 7 active recruiting cardiometabolic trials. Privately-owned, part of Rovia network. 600+ clinical trials conducted. Emphasizes rapid startup and patient enrollment. Volunteer-centered approach. Greater St. Louis region footprint."
Clinical Advancement Center,,Texas,Independent Site,1,Texas,5,50,29,60,59,55,123,72,16,82,34,16,62,50,70931,2011,15,114,high,64,20,24,123,Eli Lilly and Company; Amgen; Bayer; Novo Nordisk A/S; La Jolla Pharmaceutical Company; Boehringer Ingelheim,"IQVIA Pty Ltd; Medpace, Inc.; Worldwide Clinical Trials",4729,71,0,50,,,,,,,,,,,"Cardiometabolic (cardiology/endocrinology/hepatology/renal, per ClinicalTrials.gov)",,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,,,Unknown,4 active recruiting cardiometabolic trials (ClinicalTrials.gov),Surfaced via ClinicalTrials.gov mining (not on curated lists). 4 active recruiting cardiometabolic trials across 1 location(s). Actively-recruiting independent site = warm Intera lead; website/leadership not yet verified.
Consano Clinical Research,https://consano.com,"San Antonio, Texas",Independent Site,1,Texas,5,50,42,64,44,47,114,58,7,89,49,24,36,67,109871,2013,13,63,high,30,15,11,113,Eli Lilly and Company; Novo Nordisk A/S; Pfizer; Amgen; Boehringer Ingelheim; AbbVie,"Medpace, Inc.; Parexel",8452,94,14,43,,,,,,,,,,,"Weight Loss, Type 1 Diabetes, Type 2 Diabetes, Thyroid Disease, Neuropathic Pain, Cardiovascular","Type 1 Diabetes, Type 2 Diabetes, Weight Loss, Thyroid Disease, Neuropathic Pain, Cardiovascular",English + Spanish (detected),,,Unknown specifics,Small team; 4 employees total,Multiple pharma sponsors,Yes,Pharma sponsor partnerships,"Y - growing (+33.3% YoY, +2 employees recently)","Single location San Antonio, Texas",Private,None mentioned,"Self-owned, founded 2013",,,,Moderate; diabetes and weight loss research focus,,,,Y,"Contemporary scientific instruments, secure data handling systems",N,Unknown,Y,Unknown,Unknown,Unknown,Unknown,unitedstates@bitrialsupport.com,https://www.linkedin.com/company/consano-clinical-research-llc,N,"Moderate - patient-centric approach, emphasis on safety and research quality",Single independent site in San Antonio. 13 active recruiting cardiometabolic trials per ClinicalTrials.gov - moderate opportunity. Small team (4 employees per LinkedIn) with limited growth capacity. Emphasizes patient safety and ethical practices but lacks multi-site scale and modern recruitment technology. Limited innovation signals.
Medication Management,,North Carolina,Independent Site,1,North Carolina,5,50,48,57,47,47,80,44,11,80,24,9,18,51,258824,2006,20,68,high,39,20,13,74,Eli Lilly and Company; Pfizer; Boehringer Ingelheim; Novo Nordisk A/S; AbbVie; Amgen,IQVIA Pvt. Ltd; Premier Research,12941,64,0,47,,,,,,,,,,,"Cardiometabolic (cardiology/endocrinology/hepatology/renal, per ClinicalTrials.gov)",,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,unitedstates@bitrialsupport.com,,Unknown,5 active recruiting cardiometabolic trials (ClinicalTrials.gov),Surfaced via ClinicalTrials.gov mining (not on curated lists). 5 active recruiting cardiometabolic trials across 1 location(s). Actively-recruiting independent site = warm Intera lead; website/leadership not yet verified.
Precision Comprehensive Clinical Research Solutions,https://pccrsolutions.com/,"1452 Hughes Rd Ste 200, Grapevine, Texas 76051",Site Network,2,Texas,5,50,52,61,41,42,73,38,7,84,27,8,12,45,145205,2006,20,48,high,33,11,12,70,"AbbVie; Susanna Naggie, MD; Amgen; Biogen; Eli Lilly and Company; Janssen Research & Development, LLC",IQVIA Pty Ltd; IQVIA Pvt. Ltd,7260,89,43,44,,,,,,,,,,,"Rheumatoid Arthritis, Systemic Lupus Erythematosus, Psoriatic Arthritis, Rheumatoid Diseases","Systemic Lupus Erythematosus (SLE), Rheumatic diseases, multiple indications",English + Spanish (detected),,N - DFW Metroplex based,Board-certified physician investigators (number unknown),1 person reported (minimal staff),Biogen (SLE trials TOPAZ-1/TOPAZ-2),,,,Limited (Bay Area mentioned),,,Independent,Unable to detect,,,Minimal,Y,Y,,Y,Medidata platform mentioned,Unknown,Vendors,Y,"Satish Reddy (CEO since 2017, 25+ years IT/healthcare executive)",Unknown,Ashwin Boda (Operations Director),Unknown,info@pccrsolutions.com (provided from input); (972) 299-8399,https://www.linkedin.com/company/pccrsolutions,Unknown,"Moderate - Focused niche in rheumatologic diseases, experienced enrollment","ClinicalTrials.gov signal: 6 recruiting trials across 3 locations in Texas (Colleyville, Fort Worth, and one additional site). Investigator site network focused on rheumatologic diseases. Colleyville and Fort Worth locations serve Dallas-Fort Worth metroplex. Over 10 years research experience. Narrow therapeutic focus limits broader enrollment appeal but strong in specialty area."
Trinity Health Michigan (Michigan Cancer Research Consortium NCORP),https://www.mcrconline.org,"Ann Arbor, MI",Academic Network,40,"MI, PA, FL",5,50,40,69,28,60,90,51,3,94,34,1,41,51,69772,2003,22,383,high,9,17,5,23,National Cancer Institute (NCI); SWOG Cancer Research Network; Alliance for Clinical Trials in Oncology; Wake Forest University Health Sciences; Gynecologic Oncology Group; Radiation Therapy Oncology Group,,3171,97,43,52,,,Y,,,,,,,,"Oncology (cancer), drug trials, intervention trials for symptom control and quality of life","Oncology, cancer clinical trials, cancer prevention, symptom management, quality of life trials",English,Y (site mentions),,Multiple (40+ sites across network),50+ (large NCORP network),"NCI-sponsored trials, major oncology sponsors",Multiple CROs,NCI NCORP (one of 46 nationally); Trinity Health System; IHA practices; hospitals across Michigan/Pennsylvania/Florida,Y (ongoing recruitment for research positions),"Y (40 sites across Michigan, Pennsylvania, Florida)","NCI continuous funding since 1994; recent grants: $566K (Elie Dib grant 2024), $50K (Cancer Moonshot Biobank 2024)",N,Part of Trinity Health system,,,,Yes - NCORP national network presence,Y,Y,Y,N,"Robust research infrastructure, grant funding support",N,Vendors,Y,"Shannon Striebich (President and CEO, Trinity Health Michigan Market)","Caesar Gonzales, MD (Chief Clinical Officer); Chiquita Berg, MD (VP Community Health & Well-Being)",Unknown,Unknown,Unknown,Unknown,N,"Daily patient screening; 9,000+ physicians/nurses/staff across network; nearly 150 open trials; established infrastructure",NCORP designation; large established network with strong infrastructure but cancer-only focus and academic/bureaucratic procurement model; may be slower to close; limited direct patient recruitment marketing. [Validated: 6 active recruiting cardiometabolic trials on ClinicalTrials.gov.]
Pharmaron,https://www.pharmaron.com,"Princeton, New Jersey (US Clinical Pharmacology Center: Baltimore, MD)",CRO,"1 main US clinical pharmacology facility (Baltimore, 96 beds, 63,000 sq ft); global CDMO/CRO with multiple international locations",MD,4,50,61,56,42,35,57,47,1,98,9,6,6,4,108445,2017,8,43,high,44,15,10,55,"Luye Pharma Group Ltd.; BioNTech SE; BrightGene Bio-Medical Technology Co., Ltd.; Biogen; TransThera Sciences (Nanjing), Inc.; Neurop Inc.","The Emmes Company, LLC",13556,78,57,31,,,Y,,,,,,,,"Phase I clinical pharmacology: FIH, SAD/MAD, DDI, TQT/EPQT, food effect, BA/BE, bridging studies, PK formulation, C14 human ADME; global services span drug discovery, DMPK, safety, bioanalytical, CMC, clinical, cell/gene therapy","Phase I/II; FIH, TQT, DDI, BA/BE, C14-hADME, Vaccine/Infectious Disease, Radiolabel, Ethnobridging",English + Spanish (detected),,Y (Baltimore CPC + Princeton + China operations),5+ (Principal Investigators at Baltimore CPC),"20+ (nurses, research coordinators, RAs across centers)","Global sponsors (pharma, biotech)",N/A (is a CRO),Clario (ECG collection partner),,Y (multi-location US + international),,,Founded 2003; founded by Boliang Lou; global life science services platform,,,Y,Y (strong service/capability pages),,Y (100% recruitment noted; retention >95%),Y,Y,"CLIA/COLA certified diagnostic lab, USP 795/797 compliant pharmacy, access-controlled facilities, certified ECG collection, sterile/non-sterile compounding capabilities",N,Integrated clinical and analytical systems,Y,"Boliang Lou, Ph.D. (Founder, Chairman & CEO)",Unknown,Unknown,Unknown,Unknown,https://www.linkedin.com/company/pharmaron,N,Baltimore facility designed to support patient enrollment; 96+ beds provide capacity for concurrent studies,"Weak Intera fit: Single Baltimore clinical pharmacology facility (96 beds) does not meet multi-site network requirement. Founder-led (Boliang Lou, 2003) suggests entrepreneurial culture, but business model is global CDMO/CRO service provider rather than site network operator. Phase I specialized expertise (FIH, SAD/MAD, ADME) but limited to one US location. Baltimore facility is excellent (96 beds, CLIA certified, modern infrastructure) but insufficient scale for Intera's multi-site coordination value proposition. While Pharmaron is large globally and founder-led, US presence is single-facility clinical pharmacology unit. No multi-concurrent recruiting studies advantage. Better positioned as Phase I specialist than as recruitment-challenged site network."
Southeast Retina Center,https://southeastretina.com/clinical-trials/,"Augusta, GA",Site Network,11,"GA, SC, AL",3,50,23,71,54,53,126,74,18,80,29,8,47,61,36866,1999,26,65,high,44,22,17,125,"Jaeb Center for Health Research; Hoffmann-La Roche; Genentech, Inc.; Kodiak Sciences Inc; Southeast Retina Center, Georgia; AbbVie","Fortrea; PPD Development, LP; Parexel; The Emmes Company, LLC",1418,89,14,58,,,Y,,,,,,,,"Ophthalmology - Retinal diseases (AMD, DME, geographic atrophy, diabetic retinopathy)","Retinal disease: AMD, diabetic retinopathy, retinal vein occlusion, geographic atrophy (Phase I-IV trials)",English + Spanish (detected),,,"3+ (Marcus, Xu, Espinosa)",4 dedicated CCRCs; nursing staff,"Pharma companies (ranibizumab, aflibercept, KSI-301, etc.)",,"National Eye Institute, DRCR Retina Network",,Joined Eye Health America network (12/31/2021),,Y - acquired by Eye Health America (2021),Eye Health America (acquired December 2021),,,,,,,,Y,High-speed internet monitoring rooms; state-of-the-art imaging/diagnostic equipment; wide-field imaging systems,,Vendors,Y,Unknown,Unknown,Unknown,Unknown,,,N,Active multi-site recruitment via retina specialty practices; 4 dedicated clinical research coordinators; dedicated RNs for infusion studies,Single therapeutic area (ophthalmology/retinal only); 11 locations across 2 states but specialized focus limits enrollment volume. Part of EHA roll-up indicating acquisition strategy. Strong research infrastructure and DRCR/NEI ties but narrow therapeutic scope incompatible with broad-spectrum patient recruitment platform. Not acquisition target. Weak Intera fit - limited to retina disease populations only.
Amicis Research Center,https://amicisresearch.com/,California,Independent Site,2,California,7,49,39,54,51,52,98,33,13,72,51,33,33,54,80347,2016,10,124,high,66,14,15,97,Novo Nordisk A/S; Boehringer Ingelheim; Sanofi; Mineralys Therapeutics Inc.; Crystalys Therapeutics; Connect Biopharm LLC,"IQVIA Biotech; Medpace, Inc.; PPD Development, LP; Teva Branded Pharmaceutical Products R&D LLC",8035,86,14,45,,,,,,,,,,,"Nephrology, Cardiology, Ophthalmology, Pulmonology, Neurology, OB/GYN, Infectious Diseases, Dermatology, Gastroenterology, Internal Medicine/Family Medicine","Nephrology, Cardiology, Ophthalmology, Pulmonology, Neurology, OB/GYN, Infectious Disease, Dermatology, Gastroenterology",,,"Y - multiple California locations (Northridge, Lancaster, Beverly Hills, Palmdale, others)",,,Multiple pharma partners,,,,Y - multiple California locations,,N,Independent,,,,,N,,N,Y,Advanced analytics for clinical trial optimization,Unknown,Unknown,Y,Tyrone Rosales,Unknown,Unknown,"Paramdeep Singh, MD (Business Development Manager)","bold-HTN@estar.bio, info@amicisresearch.com",https://www.linkedin.com/company/amicis-research-center,N,High - Patient network referral program with compensation model,Founded 2017. ClinicalTrials.gov validation: 8 active recruiting cardiometabolic trials. Leading independent integrative clinical research organization with multiple therapeutic areas and patient referral marketing model. Growing team (22.9% YoY). Focus on patient safety and efficient trial management.
